model_name,rmse,mae,r2,explained_variance,mape,median_abs_error,p90_error,p95_error,max_error,mean_relative_error,residual_std,residual_normality_p,train_time,cv_rmse,cv_std,train_time_formatted
linear,414.56737020884,316.9659743569641,0.30593709791853285,0.31087929960637195,22.092930046379593,280.79759611689565,540.712856490559,846.0719927689878,1316.8236218649345,22.09293004637764,413.0887319307571,0.0016817035800095687,0.001007080078125,430.0760111902207,171.68992190268398,0.001s
svr,425.316776454177,308.2598081224398,0.26947745100248155,0.27520498577434305,21.7275263679241,206.90747199912357,612.108978769172,915.5635398618399,1326.190883112636,21.727526367922064,423.64618447127344,0.030664762393189184,0.00500941276550293,445.94922008436555,184.82253599400303,0.005s
