X,Y,trajectory_id,step_id,PL,RMS,PL_RMS_ratio,RMS_PL_ratio,PL_plus_RMS,PL_minus_RMS,abs_PL_minus_RMS
-1776,-713,17,9,66.0,8.69,7.59,0.13,74.69,57.31,57.31
-1664,-1262,18,0,65.3,8.15,8.01,0.12,73.45,57.15,57.15
-1322,-1368,18,1,67.2,7.91,8.5,0.12,75.11,59.29,59.29
-1199,-1007,18,2,67.9,7.37,9.21,0.11,75.27,60.53,60.53
-1019,-1303,18,3,66.0,7.73,8.54,0.12,73.73,58.27,58.27
-1133,-943,18,4,68.0,7.45,9.13,0.11,75.45,60.55,60.55
-1341,-1204,18,5,66.9,6.73,9.94,0.1,73.63,60.17,60.17
-1802,-1148,18,6,65.3,8.12,8.04,0.12,73.42,57.18,57.18
-1340,-961,18,7,67.3,7.64,8.81,0.11,74.94,59.66,59.66
-1770,-916,18,8,67.6,6.85,9.87,0.1,74.45,60.75,60.75
-2059,-1257,18,9,69.7,7.34,9.5,0.11,77.04,62.36,62.36
-1494,-1093,19,0,65.9,8.48,7.77,0.13,74.38,57.42,57.42
-1138,-1147,19,1,67.1,7.79,8.61,0.12,74.89,59.31,59.31
-1071,-855,19,2,67.6,7.56,8.94,0.11,75.16,60.04,60.04
-1345,-1324,19,3,68.0,6.64,10.24,0.1,74.64,61.36,61.36
-1877,-1116,19,4,66.1,6.66,9.92,0.1,72.76,59.44,59.44
-2245,-891,19,5,69.5,7.91,8.79,0.11,77.41,61.59,61.59
-2012,-1228,19,6,68.5,7.52,9.11,0.11,76.02,60.98,60.98
-2421,-1234,19,7,67.3,7.77,8.66,0.12,75.07,59.53,59.53
-2370,-852,19,8,67.3,7.32,9.19,0.11,74.62,59.98,59.98
-2500,-1387,19,9,68.1,6.21,10.97,0.09,74.31,61.89,61.89
