X,Y,r,PL,RMS,trajectory_id,step_id,PL_squared,RMS_squared,PL_cubed,RMS_cubed,PL_log,RMS_log,PL_sqrt,RMS_sqrt,PL_reciprocal,RMS_reciprocal,PL_RMS,PL_squared_RMS,PL_RMS_squared,PL_squared_RMS_squared,PL_RMS_ratio,RMS_PL_ratio,PL_minus_RMS,PL_plus_RMS,abs_PL_minus_RMS,PL_RMS_harmonic_mean,PL_RMS_geometric_mean,PL^2,PL RMS,RMS^2,PL^3,PL^2 RMS,PL RMS^2,RMS^3
-1818,-779,1977.87,66.5,7.36,0,0,4422.25,54.1696,294079.625,398.688256,4.197201947663312,1.9960599327543718,8.154753215150045,2.7129319932501073,0.015037593984939793,0.13586956521554525,489.44,32547.760000000002,3602.2784,239551.5136,9.03532608683376,0.11067669172915688,59.14,73.86,59.14,13.253181695080892,22.123290894439734,4422.25,489.44,54.1696,294079.625,32547.76,3602.2784,398.688256
-2219,-895,2392.69,65.8,8.14,0,1,4329.639999999999,66.2596,284890.312,539.3531440000002,4.186619838332791,2.096790180026734,8.1117199162693,2.8530685235374214,0.015197568389034655,0.12285012284861363,535.612,35243.2696,4359.88168,286880.214544,8.083538083438777,0.1237082066867421,57.66,73.94,57.66,14.487746821727768,23.14329276485954,4329.639999999999,535.612,66.2596,284890.312,35243.2696,4359.88168,539.353144
-1686,-903,1912.59,67.1,7.85,0,2,4502.409999999999,61.622499999999995,302111.71099999995,483.73662499999995,4.2061840439791265,2.060513531807056,8.191458966508957,2.80178514522438,0.014903129657205808,0.12738853503022435,526.7349999999999,35343.91849999999,4134.869749999999,277449.7602249999,8.547770700528053,0.1169895678090656,59.24999999999999,74.94999999999999,59.24999999999999,14.055637091375509,22.950708050079847,4502.409999999999,526.7349999999999,61.622499999999995,302111.7109999999,35343.91849999999,4134.869749999999,483.73662499999995
-2038,-927,2238.92,69.2,7.74,0,3,4788.64,59.9076,331373.88800000004,463.68482400000005,4.237000862625069,2.046401687614556,8.318653737234168,2.7820855486487113,0.014450867052002239,0.1291989664065995,535.6080000000001,37064.0736,4145.60592,286875.92966400005,8.940568475336685,0.11184971098249732,61.46,76.94,61.46,13.922744996082765,23.143206346571773,4788.64,535.6080000000001,59.9076,331373.88800000004,37064.0736,4145.60592,463.68482400000005
-1805,-1164,2147.77,65.8,8.91,0,4,4329.639999999999,79.38810000000001,284890.312,707.347971,4.186619838332791,2.1871742414939415,8.1117199162693,2.98496231131986,0.015197568389034655,0.11223344556551926,586.278,38577.092399999994,5223.736980000001,343721.893284,7.384960718211167,0.13541033434629876,56.89,74.71,56.89,15.694766430175754,24.213178230046548,4329.639999999999,586.278,79.38810000000001,284890.312,38577.0924,5223.736980000001,707.3479710000001
-1288,-920,1582.83,66.1,8.73,0,5,4369.209999999999,76.2129,288804.7809999999,665.3386170000001,4.191168746859153,2.166765369862966,8.130190649671137,2.9546573405388314,0.015128593040824315,0.11454753722663748,577.053,38143.203299999994,5037.67269,332990.164809,7.571592210680737,0.13207261724639627,57.36999999999999,74.83,57.36999999999999,15.423038888125854,24.021927483031,4369.209999999999,577.053,76.2129,288804.7809999999,38143.203299999994,5037.67269,665.3386170000001
-727,-964,1207.4,65.6,8.84,0,6,4303.36,78.1456,282300.4159999999,690.807104,4.183575695951568,2.179286876660864,8.099382692526634,2.973213749463701,0.015243902439001153,0.1131221719444217,579.904,38041.702399999995,5126.35136,336288.649216,7.420814479554062,0.1347560975607702,56.75999999999999,74.44,56.75999999999999,15.580440623299864,24.081195983588522,4303.36,579.904,78.1456,282300.41599999997,38041.702399999995,5126.35136,690.807104
-196,-1244,1259.35,67.0,8.15,0,7,4489.0,66.4225,300763.0,541.343375,4.204692619392459,2.098017927265041,8.18535277187245,2.8548204847240397,0.01492537313430608,0.12269938650156197,546.0500000000001,36585.35,4450.3075,298170.6025,8.220858895604652,0.12164179104459456,58.85,75.15,58.85,14.532268795722512,23.36771276783417,4489.0,546.0500000000001,66.4225,300763.0,36585.350000000006,4450.3075,541.343375
-711,-1464,1627.52,68.6,7.45,0,8,4705.959999999999,55.502500000000005,322828.8559999999,413.493625,4.228292534733297,2.008214032404891,8.282511696339462,2.7294688127912363,0.01457725947519741,0.13422818791766136,511.07,35059.401999999995,3807.4715,261192.54489999998,9.20805369115157,0.1086005830902207,61.14999999999999,76.05,61.14999999999999,13.440368178812044,22.6068573667372,4705.959999999999,511.07,55.502500000000005,322828.8559999999,35059.401999999995,3807.4715,413.49362500000007
-994,-1334,1663.61,68.5,7.34,0,9,4692.25,53.8756,321419.125,395.44690399999996,4.22683374526964,1.9933388426400482,8.276472678623424,2.7092434368288134,0.01459854014596409,0.13623978201449266,502.78999999999996,34441.115,3690.4786,252797.7841,9.332425067992746,0.10715328467137641,61.16,75.84,61.16,13.259229957788422,22.4229792846535,4692.25,502.78999999999996,53.8756,321419.125,34441.115,3690.4786,395.44690399999996
-745,-1331,1525.32,66.9,7.31,1,0,4475.610000000001,53.436099999999996,299418.30900000007,390.61789099999993,4.203198967135678,1.989243273775367,8.179242018671413,2.7037011669191546,0.014947683109095741,0.13679890560688374,489.039,32716.709100000004,3574.87509,239159.14352100002,9.151846785100524,0.10926756352748987,59.59,74.21000000000001,59.59,13.17986794230807,22.11422619039608,4475.610000000001,489.039,53.436099999999996,299418.30900000007,32716.709100000004,3574.87509,390.61789099999993
-1123,-1495,1869.8,67.5,6.77,1,1,4556.25,45.832899999999995,307546.875,310.2887329999999,4.212127597879966,1.9125010869389547,8.215838362577491,2.6019223662515376,0.014814814814792866,0.14771048744242674,456.97499999999997,30845.812499999996,3093.7207499999995,208826.15062499998,9.970457902363805,0.1002962962961477,60.730000000000004,74.27,60.730000000000004,12.305776221876524,21.376973593097784,4556.25,456.97499999999997,45.832899999999995,307546.875,30845.812499999996,3093.7207499999995,310.2887329999999
-1553,-1467,2136.33,67.3,8.12,1,2,4529.29,65.93439999999998,304821.21699999995,535.3873279999998,4.209160236652168,2.0943301541859016,8.203657720797473,2.8495613697550013,0.01485884101037911,0.12315270935808927,546.4759999999999,36777.8348,4437.385119999999,298636.01857599994,8.288177339799407,0.12065378900427837,59.18,75.42,59.18,14.491540705363969,23.37682613187684,4529.29,546.4759999999999,65.93439999999998,304821.217,36777.83479999999,4437.385119999999,535.3873279999998
-1602,-1079,1931.49,66.5,9.02,1,3,4422.25,81.3604,294079.625,733.8708079999999,4.197201947663312,2.199444334085619,8.154753215150045,3.003331483536241,0.015037593984939793,0.11086474500985738,599.8299999999999,39888.695,5410.4666,359796.0289,7.3725055431555155,0.13563909774415692,57.480000000000004,75.52,57.480000000000004,15.885328389809473,24.491427071528516,4422.25,599.8299999999999,81.3604,294079.625,39888.69499999999,5410.4666,733.8708079999999
-1216,-1103,1641.73,68.1,8.44,1,4,4637.61,71.2336,315821.2409999999,601.2115839999999,4.220977213156935,2.132982308619714,8.252272414311102,2.90516780926679,0.014684287812019555,0.11848341232087106,574.7639999999999,39141.4284,4851.008159999999,330353.655696,8.06872037905132,0.12393538913344503,59.66,76.53999999999999,59.66,15.018656911399242,23.97423617135695,4637.61,574.7639999999999,71.2336,315821.241,39141.42839999999,4851.008159999999,601.2115839999999
-1065,-763,1310.11,68.5,7.21,1,5,4692.25,51.9841,321419.125,374.805361,4.22683374526964,1.9754689513107273,8.276472678623424,2.6851443164195103,0.01459854014596409,0.1386962551991859,493.885,33831.1225,3560.9108499999998,243922.39322499998,9.500693481144234,0.10525547445240109,61.29,75.71,61.29,13.046757363607124,22.22352357300705,4692.25,493.885,51.9841,321419.125,33831.1225,3560.9108499999998,374.805361
-690,-1207,1390.31,65.7,9.08,1,6,4316.490000000001,82.4464,283593.39300000004,748.6133120000001,4.185098925492087,2.2060741926242153,8.105553651663778,3.0133038346638727,0.015220700152183833,0.11013215858909546,596.556,39193.72920000001,5416.72848,355879.06113600003,7.235682819303572,0.1382039573818292,56.620000000000005,74.78,56.620000000000005,15.954961219556091,24.42449590063222,4316.490000000001,596.556,82.4464,283593.39300000004,39193.7292,5416.72848,748.613312
